sample,Test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier
7,10,0.05,0.0,0.05,0.05,1.0,HDy
7,10,0.05,0.0,0.03,0.03,1.0,DyS
7,10,0.05,0.0,0.07,0.07,1.0,SMM
8,10,0.05,0.0,0.1,0.1,0.9,CC
8,10,0.05,0.0,0.23,0.23,0.7,PCC
8,10,0.05,0.0,0.13,0.13,0.9,PACC
8,10,0.05,0.0,0.02,0.02,0.9,X
8,10,0.05,0.0,0.01,0.01,0.9,MAX
8,10,0.05,0.0,0.07,0.07,0.9,HDy
8,10,0.05,0.0,0.05,0.05,0.9,DyS
8,10,0.05,0.0,0.12,0.12,0.9,SMM
9,10,0.05,0.0,0.2,0.2,0.8,CC
9,10,0.05,0.0,0.1,0.1,0.9,ACC
9,10,0.05,0.0,0.29,0.29,0.8,PCC
9,10,0.05,0.0,0.2,0.2,0.8,PACC
9,10,0.05,0.0,0.14,0.14,0.9,X
9,10,0.05,0.0,0.13,0.13,0.9,MAX
9,10,0.05,0.0,0.09,0.09,0.9,HDy
9,10,0.05,0.0,0.06,0.06,0.9,DyS
9,10,0.05,0.0,0.21,0.21,0.8,SMM
10,10,0.05,0.0,0.1,0.1,0.9,CC
10,10,0.05,0.0,0.24,0.24,0.7,PCC
10,10,0.05,0.0,0.15,0.15,0.8,PACC
10,10,0.05,0.0,0.02,0.02,1.0,X
10,10,0.05,0.0,0.01,0.01,1.0,MAX
10,10,0.05,0.0,0.07,0.07,1.0,HDy
10,10,0.05,0.0,0.04,0.04,1.0,DyS
10,10,0.05,0.0,0.15,0.15,0.8,SMM
1,10,0.1,0.1,0.1,0.0,1.0,CC
1,10,0.1,0.1,0.22,0.12,0.9,PCC
1,10,0.1,0.1,0.12,0.02,1.0,PACC
1,10,0.1,0.1,0.02,0.08,1.0,X
1,10,0.1,0.1,0.01,0.09,1.0,MAX
1,10,0.1,0.1,0.2,0.1,0.9,T50
1,10,0.1,0.1,0.01,0.09,1.0,MS
1,10,0.1,0.1,0.11,0.01,1.0,HDy
1,10,0.1,0.1,0.13,0.03,1.0,DyS
1,10,0.1,0.1,0.03,0.07,1.0,SORD
1,10,0.1,0.1,0.12,0.02,1.0,SMM
2,10,0.1,0.1,0.2,0.1,0.9,CC
2,10,0.1,0.1,0.1,0.0,1.0,ACC
2,10,0.1,0.1,0.29,0.19,0.8,PCC
2,10,0.1,0.1,0.21,0.11,0.9,PACC
2,10,0.1,0.1,0.14,0.04,1.0,X
2,10,0.1,0.1,0.13,0.03,1.0,MAX
2,10,0.1,0.1,0.2,0.1,0.9,T50
2,10,0.1,0.1,0.08,0.02,0.9,MS
2,10,0.1,0.1,0.16,0.06,1.0,HDy
2,10,0.1,0.1,0.14,0.04,1.0,DyS
2,10,0.1,0.1,0.09,0.01,0.9,SORD
2,10,0.1,0.1,0.21,0.11,0.9,SMM
3,10,0.1,0.1,0.4,0.3,0.7,CC
3,10,0.1,0.1,0.34,0.24,0.8,ACC
3,10,0.1,0.1,0.34,0.24,0.8,PCC
3,10,0.1,0.1,0.26,0.16,0.9,PACC
3,10,0.1,0.1,0.26,0.16,0.9,X
3,10,0.1,0.1,0.25,0.15,0.9,MAX
3,10,0.1,0.1,0.14,0.04,0.8,MS
3,10,0.1,0.1,0.12,0.02,0.8,HDy
3,10,0.1,0.1,0.08,0.02,0.9,DyS
3,10,0.1,0.1,0.16,0.06,0.8,SORD
3,10,0.1,0.1,0.27,0.17,0.9,SMM
4,10,0.1,0.1,0.2,0.1,0.9,CC
4,10,0.1,0.1,0.1,0.0,1.0,ACC
4,10,0.1,0.1,0.3,0.2,0.8,PCC
4,10,0.1,0.1,0.22,0.12,0.9,PACC
4,10,0.1,0.1,0.02,0.08,1.0,X
4,10,0.1,0.1,0.01,0.09,1.0,MAX
4,10,0.1,0.1,0.05,0.05,1.0,MS
4,10,0.1,0.1,0.08,0.02,1.0,HDy
4,10,0.1,0.1,0.05,0.05,1.0,DyS
4,10,0.1,0.1,0.05,0.05,1.0,SORD
4,10,0.1,0.1,0.22,0.12,0.9,SMM
5,10,0.1,0.1,0.2,0.1,0.9,CC
5,10,0.1,0.1,0.1,0.0,1.0,ACC
5,10,0.1,0.1,0.26,0.16,0.8,PCC
5,10,0.1,0.1,0.17,0.07,1.0,PACC
5,10,0.1,0.1,0.02,0.08,1.0,X
5,10,0.1,0.1,0.01,0.09,1.0,MAX
5,10,0.1,0.1,0.07,0.03,1.0,HDy
5,10,0.1,0.1,0.06,0.04,1.0,DyS
5,10,0.1,0.1,0.01,0.09,1.0,SORD
5,10,0.1,0.1,0.17,0.07,1.0,SMM
6,10,0.1,0.1,0.3,0.2,0.8,CC
6,10,0.1,0.1,0.22,0.12,0.9,ACC
6,10,0.1,0.1,0.31,0.21,0.7,PCC
6,10,0.1,0.1,0.23,0.13,0.9,PACC
6,10,0.1,0.1,0.14,0.04,1.0,X
